AT;BDA;Baierdorf bei Anger;Baierdorf bei Anger;6;--3-----;RQ;907;;4708N 01520E;
AT;BRB;Bärenbach;Barenbach;6;--3-----;RQ;501;;4741N 01507E;
AT;BBH;Bärnbach;Barnbach;;--3-----;RQ;101;;;
AT;BTE;Baumgarten am Tullnerfeld;Baumgarten am Tullnerfeld;3;--3-----;RL;1407;;4817N 01602E;
AT;BGT;Baumgartenberg;Baumgartenberg;;-23--6--;RL;601;;4813N 01444E;
AT;BMB;Behamberg;Behamberg;9;--3-----;RL;701;;4802N 01430E;
AT;BGH;Berghausen;Berghausen;6;--3-----;RL;1207;;4642N 01535E;
AT;BES;Bergheim/Salzburg;Bergheim/Salzburg;;--3-----;RL;201;;4750N 01301E;
AT;BNF;Berndorf;Berndorf;;--3-----;RQ;9501;;;
AT;SXA;Bernhardsthal;Bernhardsthal;3;1-3-----;RL;1307;;4841N 01652E;
AT;VOR;Bezau;Bezau;8;--3--6--;RL;901;;4723N 00954E;
AT;BIE;Biedermannsdorf;Biedermannsdorf;;-23-----;RL;607;;4805N 01621E;
AT;BKD;Birkfeld;Birkfeld;6;-----6--;RQ;1201;;4721N 01541E;
AT;BIS;Bisamberg/Wien;Bisamberg/Wien;;--3-----;RL;201;;4820N 01621E;
AT;BFS;Bischofshofen;Bischofshofen;5;123-----;RL;307;;4725N 01313E;
AT;BKA;Bleiberg-Kreuth;Bleiberg-Kreuth;2;--3-----;RQ;1101;;4637N 01338E;
AT;BBG;Bleiburg;Bleiburg;;-23-----;RL;607;;4635N 01448E;
AT;BNT;Blindenmarkt;Blindenmarkt;3;-----6--;RL;1301;;4808N 01459E;
AT;BLU;Bludenz;Bludenz;;--3-----;RL;201;;4709N 00949E;
AT;ZAC;Böheimkirchen;Boheimkirchen;3;-----6--;RL;1301;;4812N 01546E;
AT;BOE;Böhlerwenk;Bohlerwenk;3;123-----;RL;1207;;4759N 01445E;
AT;BRD;Brand;Brand;3;--3-----;RL;1307;;4832N 01519E;
AT;BND;Brand;Brand;8;--3-----;RL;1307;;4706N 00944E;
AT;BRA;Braunau am Inn;Braunau am Inn;4;--3--6--;RL;501;;4815N 01302E;
AT;BRZ;Bregenz;Bregenz;8;123-----;RL;1307;XGZ;4730N 00946E;
AT;BTH;Breitenaich;Breitenaich;4;--3-----;RL;1407;;4815N 01358E;
AT;BTU;Breitenau;Breitenau;3;--3-----;RL;207;;4744N 01609E;
AT;ZAE;Breitenau am Hochlantsch;Breitenau am Hochlantsch;6;--3--6--;RL;901;;4724N 01528E;
AT;BBN;Breitenbrunn;Breitenbrunn;;--3-----;RL;201;;4756N 01643E;
AT;BFW;Breitenfurt bei Wien;Breitenfurt bei Wien;3;--3-----;RL;1401;;4808N 01609E;
AT;BSZ;Breitenschützing;Breitenschutzing;4;--3-----;RL;1301;;4805N 01348E;
AT;BWA;Breitenwaida;Breitenwaida;3;--3-----;RL;1207;;4830N 01604E;
AT;BXT;Brixen im Thale;Brixen im Thale;7;--3-----;RL;901;;4727N 01215E;
AT;BXG;Brixlegg;Brixlegg;;--3-----;RL;201;;4725N 01152E;
AT;BRG;Bruck an der Glocknerstrasse;Bruck an der Glocknerstrasse;;--3-----;RL;106;;4717N 01249E;
AT;BKL;Bruck an der Leitha;Bruck an der Leitha;;--3-----;RQ;9806;;;
AT;BRU;Bruck an der Mur;Bruck an der Mur;;--3-----;RQ;9501;;;
AT;6TA;Bruckbach;Bruckbach;3;--3-----;RL;1507;;4800N 01444E;
AT;BRL;Brückl;Bruckl;;--3-----;RQ;101;;;
AT;BRN;Brunn;Brunn;;--3-----;RL;201;;4720N 01459E;
AT;BAG;Brunn am Gebirge;Brunn am Gebirge;;-23-----;RL;607;;4807N 01618E;
AT;NNE;Brunnenthal;Brunnenthal;4;--3-----;RL;1307;;4828N 01327E;
AT;BUC;Buch;Buch;3;--3-----;RQ;1101;;4807N 01502E;
AT;BB9;Burg;Burg;1;--3-----;RL;1401;;4713N 01624E;
AT;BGK;Burgkirchen;Burgkirchen;4;--3-----;RQ;1301;;4812N 01306E;
AT;URS;Bürs;Burs;8;-23--6--;RL;1307;;4708N 00948E;
AT;DDT;Dellach im Drautal;Dellach im Drautal;2;--3-----;RL;901;;4644N 01304E;
AT;DSU;Desselbrunn;Desselbrunn;4;--3-----;RL;701;;4801N 01346E;
AT;DSZ;Deutsch Schutzen;Deutsch Schutzen;;--3-----;RL;607;;4710N 01627E;
AT;DWA;Deutsch Wagram;Deutsch Wagram;;123-----;RL;601;;4818N 01634E;
AT;DKZ;Deutschkreutz;Deutschkreutz;1;1----6--;RL;1107;;4736N 01638E;
AT;DEU;Deutschlandsberg;Deutschlandsberg;;--3-----;RL;201;;4649N 01513E;
AT;DIA;Dietach;Dietach;4;--3-----;RL;701;;4805N 01425E;
AT;DTD;Dietachdorf;Dietachdorf;4;--3-----;RL;1301;;4805N 01425E;
AT;ERR;Dobermannsdorf;Dobermannsdorf;;1-------;RL;1107;;4836N 01649E;
AT;D2L;Dobl;Dobl;4;--3-----;RL;1507;;4816N 01324E;
AT;DBL;Dobl;Dobl;6;--3-----;RL;1301;;4657N 01522E;
AT;NNN;Donnerskirchen;Donnerskirchen;1;1-------;RL;1107;;4754N 01638E;
AT;DRF;Dorf;Dorf;4;--3-----;RL;307;;4817N 01337E;
AT;DFF;Dorf an der Pram;Dorf an der Pram;4;--3-----;RL;1601;;4816N 01337E;
AT;DFL;Dorfla;Dorfla;6;--3-----;RQ;1101;;4700N 01528E;
AT;DOR;Dornbirn;Dornbirn;8;--3-----;RL;1601;;4725N 00943E;@Sub@Coo
AT;DRA;Drasenhofen;Drasenhofen;3;1----6--;RQ;1001;;4845N 01639W;
AT;DRO;Dross;Dross;3;1-3-----;RL;1307;;4827N 01534E;
AT;DUR;Dürnkrut;Durnkrut;3;-23-----;RL;1301;;4828N 01651E;
AT;DUE;Dürnstein;Durnstein;;123-----;RL;601;;4823N 01531E;
AT;EBB;Ebbs;Ebbs;7;--3-----;RL;1307;;4738N 01213E;
AT;EBN;Eben;Eben;;--3-----;RL;607;;4738N 01605E;
AT;ESG;Ebenau;Ebenau;5;--3-----;RL;1407;;4748N 01311E;
AT;EFH;Ebenfurth;Ebenfurth;1;--3-----;RL;1301;;4752N 01622E;
AT;EBS;Ebensee;Ebensee;4;--3-----;RL;701;;4748N 01346E;
AT;ETL;Ebenthal;Ebenthal;;--3-----;RL;201;;4826N 01647E;
AT;EBE;Ebergassing;Ebergassing;;--3-----;RL;201;;4802N 01631E;
AT;ERF;Eberndorf;Eberndorf;2;--3-----;RL;701;;4635N 01438E;
AT;NEB;Ebersbrunn;Ebersbrunn;3;--3-----;RL;1207;;4831N 01552E;
AT;ESW;Eberschwang;Eberschwang;4;--3-----;RL;701;;4809N 01334E;
AT;EBD;Ebersdorf;Ebersdorf;6;--3--6--;RL;901;;4712N 01557E;
AT;EBZ;Eberstalzell;Eberstalzell;4;-----6--;RL;1201;;4802N 01358E;
AT;ETN;Eberstein;Eberstein;2;--3-----;RL;1407;;4648N 01433E;
AT;EBR;Ebreichsdorf;Ebreichsdorf;3;1-3-----;RL;407;;4757N 01624E;
AT;ELL;Edelstal;Edelstal;1;--3-----;RL;901;;4806N 01659E;
AT;EDZ;Edlitz;Edlitz;3;--3-----;RL;701;;4807N 01530E;
AT;EFR;Eferding;Eferding;;--3-----;RQ;9705;;;
AT;EGB;Eggelsberg;Eggelsberg;4;--3-----;RL;701;;4804N 01259E;
AT;EBU;Eggenburg;Eggenburg;3;-23-----;RL;701;;4638N 01549E;
AT;PP3;Eggendorf;Eggendorf;3;--3-----;RL;1507;;4822N 01538E;
AT;EGT;Eggendorf im Traunkreis;Eggendorf im Traunkreis;4;--3-----;RL;407;;4807N 01408E;
AT;GEI;Eggerding;Eggerding;4;--3-----;RL;1407;;4808N 01344E;
AT;EHR;Ehrenhausen;Ehrenhausen;;--3-----;RL;201;;4643N 01534E;
AT;EWD;Eibiswald;Eibiswald;6;1----6--;RL;1107;;4641N 01550E;
AT;EEZ;Eisenerz;Eisenerz;;--3-----;RQ;101;;;
AT;EKV;Eisenkappel-Vellach;Eisenkappel-Vellach;2;--3-----;RL;1507;;4629N 01435E;
AT;EIT;Eisenstadt;Eisenstadt;;--3-----;RL;201;;4750N 01632E;
AT;EAJ;Elsarn am Jauerling;Elsarn am Jauerling;3;--3-----;RL;1301;;4822N 01522E;
AT;EGL;Elsbethen Glasenbach;Elsbethen Glasenbach;5;-----6--;RL;1301;;4720N 01320E;
AT;EMM;Emmersdorf an der Donau;Emmersdorf an der Donau;3;-23-----;RL;1001;;4814N 01520E;
AT;BRI;Engabrunn;Engabrunn;;1-------;RL;1107;;4827N 01545E;
AT;AHZ;Engelhartszell;Engelhartszell;4;--3-----;RQ;1301;;4831N 01344E;
AT;ERO;Engelmannsbrunn;Engelmannsbrunn;3;1-3-----;RL;1401;;4827N 01553E;
AT;DFC;Engerwitzdorf;Engerwitzdorf;4;1-3-----;RL;1401;;4821N 01427E;
AT;ENA;Enns;Enns;;--3-----;RQ;9501;;;
AT;ENO;Ennsdorf;Ennsdorf;;--3-----;RL;201;;4812N 01428E;
